CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
21906000,28TH ST,CHURCH ST,,,,CHURCH ST intersection,,3405
21913000,28TH ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,3407
22006000,28TH ST,NOE ST,,,,NOE ST intersection,,3409
22012000,28TH ST,CASTRO ST,,,,CASTRO ST intersection,,3411
22031000,28TH ST,DIAMOND ST,,,,DIAMOND ST intersection,,3413
22037000,28TH ST,DOUGLASS ST,,,,DOUGLASS ST intersection,,3415
28022000,29TH AVE,MCLAREN AVE,,,,MCLAREN AVE intersection,,3416
28021000,29TH AVE,LAKE ST,,,,LAKE ST intersection,,3418
28018000,29TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,3420
27842000,29TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3422
27839000,29TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3424
27834000,29TH AVE,ANZA ST,,,,ANZA ST intersection,,3426
27832000,29TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3428
27812000,29TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3430
27811000,29TH AVE,FULTON ST,,,,FULTON ST intersection,,3432
27440000,29TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3433
27438000,29TH AVE,IRVING ST,,,,IRVING ST intersection,,3435
27432000,29TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3437
27430000,29TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3439
27408000,29TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3441
27406000,29TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3443
27400000,29TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3445
27398000,29TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3447
23293000,29TH AVE,PACHECO ST,,,,PACHECO ST intersection,,3449
23291000,29TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3451
23286000,29TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3453
23285000,29TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3455
23282000,29TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3457
23258000,29TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3459
23257000,29TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3461
21332000,29TH ST,MISSION ST,,,,MISSION ST intersection,,3462
21333000,29TH ST,TIFFANY AVE,,,,TIFFANY AVE intersection,,3464
21349000,29TH ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,3466
21893000,29TH ST,DOLORES ST,,,,DOLORES ST intersection,,3468
21905000,29TH ST,CHURCH ST,,,,CHURCH ST intersection,,3470
21910000,29TH ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,3472
22003000,29TH ST,NOE ST,,,,NOE ST intersection,,3474
22004000,29TH ST,CASTRO ST \ DAY ST,,,,CASTRO ST \ DAY ST intersection,,3476
22010000,29TH ST,ZIRCON PL,,,,ZIRCON PL intersection,,3478
22028000,29TH ST,DIAMOND ST,,,,DIAMOND ST intersection,,3480
28027000,30TH AVE,EL CAMINO DEL MAR,,,,EL CAMINO DEL MAR intersection,,3481
28026000,30TH AVE,LAKE ST,,,,LAKE ST intersection,,3483
28025000,30TH AVE,SEA VIEW TER,,,,SEA VIEW TER intersection,,3485
28023000,30TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,3487
27843000,30TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3489
27840000,30TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3491
27835000,30TH AVE,ANZA ST,,,,ANZA ST intersection,,3493
27833000,30TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3495
27814000,30TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3497
27813000,30TH AVE,FULTON ST,,,,FULTON ST intersection,,3499
27810000,30TH AVE,SPRECKELS LAKE DR,,,,SPRECKELS LAKE DR intersection,,3501
27524000,30TH AVE,JOHN F KENNEDY DR,,,,JOHN F KENNEDY DR intersection,,3503
27719000,30TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3504
27717000,30TH AVE,IRVING ST,,,,IRVING ST intersection,,3506
27711000,30TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3508
27709000,30TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3510
27683000,30TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3512
27681000,30TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3514
27675000,30TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3516
27673000,30TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3518
23399000,30TH AVE,PACHECO ST,,,,PACHECO ST intersection,,3520
23292000,30TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3522
23287000,30TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3524
23284000,30TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3526
23283000,30TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3528
23259000,30TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3530
23256000,30TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3532
23255000,30TH AVE,ESCOLTA WAY,,,,ESCOLTA WAY intersection,,3534
23254000,30TH AVE,WAWONA ST,,,,WAWONA ST intersection,,3536
21329000,30TH ST,MISSION ST,,,,MISSION ST intersection,,3537
21890000,30TH ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,3539
21841000,30TH ST,DOLORES ST,,,,DOLORES ST intersection,,3541
21849000,30TH ST,CHENERY ST,,,,CHENERY ST intersection,,3543
21904000,30TH ST,CHURCH ST,,,,CHURCH ST intersection,,3545
21876000,30TH ST,CHURCH ST,,,,CHURCH ST intersection,,3547
21877000,30TH ST,WHITNEY ST,,,,WHITNEY ST intersection,,3549
21886000,30TH ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,3551
21907000,30TH ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,3553
21908000,30TH ST,HARPER ST,,,,HARPER ST intersection,,3555
21953000,30TH ST,NOE ST,,,,NOE ST intersection,,3557
21955000,30TH ST,LAIDLEY ST,,,,LAIDLEY ST intersection,,3559
33727000,30TH ST,LAIDLEY ST,,,,LAIDLEY ST intersection,,3561
22007000,30TH ST,CASTRO ST,,,,CASTRO ST intersection,,3563
51467000,30TH ST,END,,,,END intersection,,3565
28028000,31ST AVE,SEA VIEW TER,,,,SEA VIEW TER intersection,,3566
28024000,31ST AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,3568
27845000,31ST AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3570
27844000,31ST AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3572
27836000,31ST AVE,BALBOA ST,,,,BALBOA ST intersection,,3573
27816000,31ST AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3575
27815000,31ST AVE,FULTON ST,,,,FULTON ST intersection,,3577
27721000,31ST AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3578
27718000,31ST AVE,IRVING ST,,,,IRVING ST intersection,,3580
27712000,31ST AVE,JUDAH ST,,,,JUDAH ST intersection,,3582
27710000,31ST AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3584
27684000,31ST AVE,LAWTON ST,,,,LAWTON ST intersection,,3586
27682000,31ST AVE,MORAGA ST,,,,MORAGA ST intersection,,3588
27676000,31ST AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3590
27674000,31ST AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3592
23400000,31ST AVE,PACHECO ST,,,,PACHECO ST intersection,,3594
23397000,31ST AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3596
23391000,31ST AVE,RIVERA ST,,,,RIVERA ST intersection,,3598
23388000,31ST AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3600
23387000,31ST AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3602
23346000,31ST AVE,ULLOA ST,,,,ULLOA ST intersection,,3604
23345000,31ST AVE,VICENTE ST,,,,VICENTE ST intersection,,3606
23344000,31ST AVE,ESCOLTA WAY,,,,ESCOLTA WAY intersection,,3608
50644000,31ST ST,END,,,,END intersection,,3609
32996000,31ST ST,BURNETT AVE,,,,BURNETT AVE intersection,,3611
28036000,32ND AVE,EL CAMINO DEL MAR,,,,EL CAMINO DEL MAR intersection,,3612
28040000,32ND AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,3614
28038000,32ND AVE,MARVEL CT,,,,MARVEL CT intersection,,3616
27855000,32ND AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3618
27853000,32ND AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3620
27838000,32ND AVE,ANZA ST,,,,ANZA ST intersection,,3622
27837000,32ND AVE,BALBOA ST,,,,BALBOA ST intersection,,3624
27818000,32ND AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3626
27817000,32ND AVE,FULTON ST,,,,FULTON ST intersection,,3628
27722000,32ND AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3629
27720000,32ND AVE,IRVING ST,,,,IRVING ST intersection,,3631
27715000,32ND AVE,JUDAH ST,,,,JUDAH ST intersection,,3633
27713000,32ND AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3635
27687000,32ND AVE,LAWTON ST,,,,LAWTON ST intersection,,3637
27685000,32ND AVE,MORAGA ST,,,,MORAGA ST intersection,,3639
27679000,32ND AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3641
27677000,32ND AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3643
23402000,32ND AVE,PACHECO ST,,,,PACHECO ST intersection,,3645
23398000,32ND AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3647
23392000,32ND AVE,RIVERA ST,,,,RIVERA ST intersection,,3649
23390000,32ND AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3651
23389000,32ND AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3653
23348000,32ND AVE,ULLOA ST,,,,ULLOA ST intersection,,3655
23347000,32ND AVE,VICENTE ST,,,,VICENTE ST intersection,,3657
27856000,33RD AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3658
27854000,33RD AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3660
27848000,33RD AVE,ANZA ST,,,,ANZA ST intersection,,3662
27846000,33RD AVE,BALBOA ST,,,,BALBOA ST intersection,,3664
27822000,33RD AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3666
27821000,33RD AVE,FULTON ST,,,,FULTON ST intersection,,3668
27740000,33RD AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3669
27739000,33RD AVE,IRVING ST,,,,IRVING ST intersection,,3671
27716000,33RD AVE,JUDAH ST,,,,JUDAH ST intersection,,3673
27714000,33RD AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3675
27688000,33RD AVE,LAWTON ST,,,,LAWTON ST intersection,,3677
27686000,33RD AVE,MORAGA ST,,,,MORAGA ST intersection,,3679
27680000,33RD AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3681
27678000,33RD AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3683
23403000,33RD AVE,PACHECO ST,,,,PACHECO ST intersection,,3685
23401000,33RD AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3687
23395000,33RD AVE,RIVERA ST,,,,RIVERA ST intersection,,3689
23393000,33RD AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3691
23354000,33RD AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3693
23353000,33RD AVE,ULLOA ST,,,,ULLOA ST intersection,,3695
23349000,33RD AVE,VICENTE ST,,,,VICENTE ST intersection,,3697
23350000,33RD AVE,WAWONA ST,,,,WAWONA ST intersection,,3699
27859000,34TH AVE,CLEMENT ST \ LEGION OF HONOR DR,,,,CLEMENT ST \ LEGION OF HONOR DR intersection,,3700
27857000,34TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3702
27849000,34TH AVE,ANZA ST,,,,ANZA ST intersection,,3704
27847000,34TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3706
27825000,34TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3708
27824000,34TH AVE,FULTON ST,,,,FULTON ST intersection,,3710
27741000,34TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3711
27727000,34TH AVE,IRVING ST,,,,IRVING ST intersection,,3713
27725000,34TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3715
27723000,34TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3717
27701000,34TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3719
27699000,34TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3721
27691000,34TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3723
27689000,34TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3725
23415000,34TH AVE,PACHECO ST,,,,PACHECO ST intersection,,3727
23413000,34TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3729
23396000,34TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3731
23394000,34TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3733
23356000,34TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3735
23355000,34TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3737
23352000,34TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3739
23342000,34TH AVE,CRESTLAKE DR \ WAWONA ST,,,,CRESTLAKE DR \ WAWONA ST intersection,,3741
23340000,34TH AVE,YORBA ST,,,,YORBA ST intersection,,3743
23337000,34TH AVE,ESCONDIDO AVE,,,,ESCONDIDO AVE intersection,,3745
23338000,34TH AVE,CLEARFIELD DR \ SLOAT BLVD,,,,CLEARFIELD DR \ SLOAT BLVD intersection,,3747
27860000,35TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3748
27858000,35TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3750
27852000,35TH AVE,ANZA ST,,,,ANZA ST intersection,,3752
27850000,35TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3754
27829000,35TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3756
27828000,35TH AVE,FULTON ST,,,,FULTON ST intersection,,3758
27742000,35TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3759
27732000,35TH AVE,IRVING ST,,,,IRVING ST intersection,,3761
27726000,35TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3763
27724000,35TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3765
27702000,35TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3767
27700000,35TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3769
27692000,35TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3771
27690000,35TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3773
23416000,35TH AVE,PACHECO ST,,,,PACHECO ST intersection,,3775
23414000,35TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3777
23406000,35TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3779
23404000,35TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3781
23375000,35TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3783
23374000,35TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3785
23372000,35TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3787
23363000,35TH AVE,WAWONA ST,,,,WAWONA ST intersection,,3789
23357000,35TH AVE,YORBA ST,,,,YORBA ST intersection,,3791
32901000,35TH AVE,EASEMENT,,,,EASEMENT intersection,,3793
23358000,35TH AVE,SLOAT BLVD,,,,SLOAT BLVD intersection,,3795
27893000,36TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3796
32834000,36TH AVE,UNNAMED 018,,,,UNNAMED 018 intersection,,3798
27892000,36TH AVE,SHORE VIEW AVE,,,,SHORE VIEW AVE intersection,,3800
32835000,36TH AVE,UNNAMED 010,,,,UNNAMED 010 intersection,,3802
27890000,36TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3804
27884000,36TH AVE,ANZA ST,,,,ANZA ST intersection,,3806
27851000,36TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3808
27831000,36TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3810
27830000,36TH AVE,FULTON ST,,,,FULTON ST intersection,,3812
27823000,36TH AVE,SPRECKELS LAKE DR,,,,SPRECKELS LAKE DR intersection,,3814
32851000,36TH AVE,END,,,,END intersection,,3816
27826000,36TH AVE,JOHN F KENNEDY DR,,,,JOHN F KENNEDY DR intersection,,3818
32850000,36TH AVE,JOHN F KENNEDY DR,,,,JOHN F KENNEDY DR intersection,,3820
27745000,36TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3821
32867000,36TH AVE,SUNSET BLVD,,,,SUNSET BLVD intersection,,3823
27736000,36TH AVE,IRVING ST,,,,IRVING ST intersection,,3825
27733000,36TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3827
27728000,36TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3829
27706000,36TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3831
27703000,36TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3833
27696000,36TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3835
27693000,36TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3837
23420000,36TH AVE,PACHECO ST,,,,PACHECO ST intersection,,3839
23417000,36TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3841
23410000,36TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3843
23405000,36TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3845
23377000,36TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3847
23376000,36TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3849
23373000,36TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3851
23364000,36TH AVE,WAWONA ST,,,,WAWONA ST intersection,,3853
23361000,36TH AVE,YORBA ST,,,,YORBA ST intersection,,3855
32891000,36TH AVE,SLOAT BLVD,,,,SLOAT BLVD intersection,,3857
27894000,37TH AVE,SHORE VIEW AVE,,,,SHORE VIEW AVE intersection,,3858
32837000,37TH AVE,UNNAMED 010,,,,UNNAMED 010 intersection,,3860
27891000,37TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3862
27885000,37TH AVE,ANZA ST,,,,ANZA ST intersection,,3864
27883000,37TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3866
27863000,37TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3868
27862000,37TH AVE,FULTON ST,,,,FULTON ST intersection,,3870
27747000,37TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3871
32868000,37TH AVE,SUNSET BLVD,,,,SUNSET BLVD intersection,,3873
27743000,37TH AVE,IRVING ST,,,,IRVING ST intersection,,3875
27738000,37TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3877
27730000,37TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3879
27708000,37TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3881
27705000,37TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3883
27698000,37TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3885
27695000,37TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3887
23422000,37TH AVE,PACHECO ST,,,,PACHECO ST intersection,,3889
23419000,37TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3891
23412000,37TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3893
23408000,37TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3895
23385000,37TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3897
23380000,37TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3899
23379000,37TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3901
23369000,37TH AVE,WAWONA ST,,,,WAWONA ST intersection,,3903
23365000,37TH AVE,YORBA ST,,,,YORBA ST intersection,,3905
32903000,37TH AVE,SLOAT BLVD,,,,SLOAT BLVD intersection,,3907
27898000,38TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3908
32833000,38TH AVE,UNNAMED 018,,,,UNNAMED 018 intersection,,3910
27897000,38TH AVE,SHORE VIEW AVE,,,,SHORE VIEW AVE intersection,,3912
32836000,38TH AVE,UNNAMED 010,,,,UNNAMED 010 intersection,,3914
27895000,38TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3916
27888000,38TH AVE,ANZA ST,,,,ANZA ST intersection,,3918
27886000,38TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3920
27865000,38TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3922
27864000,38TH AVE,FULTON ST,,,,FULTON ST intersection,,3924
27790000,38TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3925
27783000,38TH AVE,IRVING ST,,,,IRVING ST intersection,,3927
27782000,38TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3929
27781000,38TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3931
27759000,38TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3933
27757000,38TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3935
27749000,38TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3937
27748000,38TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3939
23465000,38TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3940
23409000,38TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3942
23386000,38TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3944
23382000,38TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3946
23381000,38TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3948
23371000,38TH AVE,WAWONA ST,,,,WAWONA ST intersection,,3950
23370000,38TH AVE,YORBA ST,,,,YORBA ST intersection,,3952
27899000,39TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3953
27896000,39TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3955
27889000,39TH AVE,ANZA ST,,,,ANZA ST intersection,,3957
27887000,39TH AVE,BALBOA ST,,,,BALBOA ST intersection,,3959
27867000,39TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,3961
27866000,39TH AVE,FULTON ST,,,,FULTON ST intersection,,3963
27791000,39TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,3964
27788000,39TH AVE,IRVING ST,,,,IRVING ST intersection,,3966
27785000,39TH AVE,JUDAH ST,,,,JUDAH ST intersection,,3968
27784000,39TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,3970
27760000,39TH AVE,LAWTON ST,,,,LAWTON ST intersection,,3972
27758000,39TH AVE,MORAGA ST,,,,MORAGA ST intersection,,3974
27751000,39TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,3976
27750000,39TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,3978
23471000,39TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,3979
23466000,39TH AVE,RIVERA ST,,,,RIVERA ST intersection,,3981
23464000,39TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,3983
23439000,39TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,3985
23436000,39TH AVE,ULLOA ST,,,,ULLOA ST intersection,,3987
23435000,39TH AVE,VICENTE ST,,,,VICENTE ST intersection,,3989
23427000,39TH AVE,WAWONA ST,,,,WAWONA ST intersection,,3991
23424000,39TH AVE,YORBA ST,,,,YORBA ST intersection,,3993
32890000,39TH AVE,SKYLINE BLVD \ SLOAT BLVD,,,,SKYLINE BLVD \ SLOAT BLVD intersection,,3995
27914000,40TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,3996
27902000,40TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,3998
27905000,40TH AVE,ANZA ST,,,,ANZA ST intersection,,4000
27903000,40TH AVE,BALBOA ST,,,,BALBOA ST intersection,,4002
27873000,40TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,4004
27872000,40TH AVE,FULTON ST,,,,FULTON ST intersection,,4006
27792000,40TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,4007
27789000,40TH AVE,IRVING ST,,,,IRVING ST intersection,,4009
27787000,40TH AVE,JUDAH ST,,,,JUDAH ST intersection,,4011
27786000,40TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,4013
27763000,40TH AVE,LAWTON ST,,,,LAWTON ST intersection,,4015
27761000,40TH AVE,MORAGA ST,,,,MORAGA ST intersection,,4017
27755000,40TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,4019
27754000,40TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,4021
23472000,40TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,4022
23469000,40TH AVE,RIVERA ST,,,,RIVERA ST intersection,,4024
23467000,40TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,4026
23440000,40TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,4028
23438000,40TH AVE,ULLOA ST,,,,ULLOA ST intersection,,4030
23437000,40TH AVE,VICENTE ST,,,,VICENTE ST intersection,,4032
23429000,40TH AVE,WAWONA ST,,,,WAWONA ST intersection,,4034
23428000,40TH AVE,YORBA ST,,,,YORBA ST intersection,,4036
27915000,41ST AVE,CLEMENT ST,,,,CLEMENT ST intersection,,4037
27913000,41ST AVE,GEARY BLVD,,,,GEARY BLVD intersection,,4039
27912000,41ST AVE,GEARY BLVD,,,,GEARY BLVD intersection,,4041
27906000,41ST AVE,ANZA ST,,,,ANZA ST intersection,,4043
27904000,41ST AVE,BALBOA ST,,,,BALBOA ST intersection,,4045
27875000,41ST AVE,CABRILLO ST,,,,CABRILLO ST intersection,,4047
27874000,41ST AVE,FULTON ST,,,,FULTON ST intersection,,4049
27804000,41ST AVE,CHAIN OF LAKES DR \ LINCOLN WAY,,,,CHAIN OF LAKES DR \ LINCOLN WAY intersection,,4050
27798000,41ST AVE,IRVING ST,,,,IRVING ST intersection,,4052
27796000,41ST AVE,JUDAH ST,,,,JUDAH ST intersection,,4054
27795000,41ST AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,4056
27772000,41ST AVE,LAWTON ST,,,,LAWTON ST intersection,,4058
27762000,41ST AVE,MORAGA ST,,,,MORAGA ST intersection,,4060
27756000,41ST AVE,NORIEGA ST,,,,NORIEGA ST intersection,,4062
27753000,41ST AVE,ORTEGA ST,,,,ORTEGA ST intersection,,4064
27752000,41ST AVE,PACHECO ST,,,,PACHECO ST intersection,,4066
23473000,41ST AVE,QUINTARA ST,,,,QUINTARA ST intersection,,4068
23470000,41ST AVE,RIVERA ST,,,,RIVERA ST intersection,,4070
23468000,41ST AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,4072
23444000,41ST AVE,TARAVAL ST,,,,TARAVAL ST intersection,,4074
23442000,41ST AVE,ULLOA ST,,,,ULLOA ST intersection,,4076
23441000,41ST AVE,VICENTE ST,,,,VICENTE ST intersection,,4078
23430000,41ST AVE,WAWONA ST,,,,WAWONA ST intersection,,4079
33564000,41ST AVE,YORBA ST,,,,YORBA ST intersection,,4081
23431000,41ST AVE,SLOAT BLVD,,,,SLOAT BLVD intersection,,4083
27919000,42ND AVE,CLEMENT ST \ VETERANS DR,,,,CLEMENT ST \ VETERANS DR intersection,,4084
27917000,42ND AVE,GEARY BLVD \ POINT LOBOS AVE,,,,GEARY BLVD \ POINT LOBOS AVE intersection,,4086
27916000,42ND AVE,GEARY BLVD,,,,GEARY BLVD intersection,,4088
27909000,42ND AVE,ANZA ST,,,,ANZA ST intersection,,4090
